purchase_year_month,seller_display_id,revenue,orders,units_sold
2017-01,SELL-001699,1641.04,7,8
2017-01,SELL-000074,1418.79,3,4
2017-01,SELL-000923,1365.8,3,3
2017-01,SELL-001927,1284.19,4,5
2017-01,SELL-002931,1247.81,2,2
2017-01,SELL-002147,1148.4,8,8
2017-01,SELL-000022,1093.38,6,6
2017-01,SELL-000158,1086.81,8,11
2017-01,SELL-001468,1048.06,5,9
2017-01,SELL-000247,1037.2,11,13
2017-01,SELL-001370,1024.64,6,8
2017-01,SELL-001386,933.46,4,4
2017-01,SELL-000174,878.75,11,14
2017-01,SELL-001087,875.96,1,1
2017-01,SELL-000928,859.14,8,12
2017-01,SELL-000088,835.69,2,9
2017-01,SELL-000006,830.37,6,6
2017-01,SELL-000603,825.59,2,4
2017-01,SELL-000785,795.72,7,8
2017-01,SELL-000079,790.07,4,6
2017-01,SELL-002869,789.49,2,3
2017-01,SELL-001034,785.64,8,8
2017-01,SELL-000144,783.0,1,15
2017-01,SELL-000948,769.43,11,15
2017-01,SELL-001986,757.91,5,5
2017-01,SELL-002678,735.0,1,1
2017-01,SELL-002962,712.85,17,18
2017-01,SELL-001178,710.89,2,2
2017-01,SELL-002663,665.7,1,1
2017-01,SELL-001364,662.95,2,10
2017-01,SELL-001207,648.11,3,4
2017-01,SELL-000864,646.38,32,33
2017-01,SELL-000402,621.7,4,4
2017-01,SELL-000373,613.88,3,3
2017-01,SELL-001134,609.9,1,1
2017-01,SELL-000493,600.59,9,9
2017-01,SELL-001600,577.0,1,1
2017-01,SELL-001255,547.67,5,9
2017-01,SELL-001695,538.48,8,10
2017-01,SELL-001066,536.0,1,2
2017-01,SELL-002732,534.48,4,4
2017-01,SELL-002044,507.9,1,1
2017-01,SELL-002311,485.57,2,4
2017-01,SELL-001355,484.71,6,6
2017-01,SELL-000947,467.99,1,1
2017-01,SELL-000429,465.92,3,3
2017-01,SELL-002452,461.59,3,5
2017-01,SELL-000581,459.72,2,2
2017-01,SELL-002595,451.57,5,6
2017-01,SELL-002200,451.0,16,19
2017-01,SELL-003006,445.18,5,6
2017-01,SELL-002139,439.11,2,2
2017-01,SELL-002129,436.43,10,10
2017-01,SELL-003027,435.98,8,8
2017-01,SELL-002366,433.44,2,4
2017-01,SELL-002768,395.55,3,3
2017-01,SELL-001506,394.52,2,2
2017-01,SELL-001136,393.61,2,2
2017-01,SELL-000273,389.31,4,7
2017-01,SELL-000321,385.29,3,3
2017-01,SELL-001896,377.53,1,1
2017-01,SELL-000508,372.64,1,1
2017-01,SELL-002672,372.13,3,3
2017-01,SELL-001728,367.29,4,6
2017-01,SELL-002526,366.26,1,2
2017-01,SELL-000829,357.74,1,1
2017-01,SELL-001614,353.0,3,3
2017-01,SELL-000517,345.68,2,2
2017-01,SELL-000664,342.83,2,2
2017-01,SELL-002063,340.35,3,3
2017-01,SELL-000710,328.92,3,3
2017-01,SELL-000788,327.5,1,1
2017-01,SELL-003095,327.38,6,6
2017-01,SELL-002577,324.13,3,3
2017-01,SELL-001141,322.01,3,4
2017-01,SELL-000793,317.37,1,1
2017-01,SELL-002826,312.77,3,6
2017-01,SELL-001328,307.48,3,4
2017-01,SELL-001775,297.87,2,3
2017-01,SELL-003083,296.78,1,1
2017-01,SELL-001641,295.15,7,7
2017-01,SELL-001056,290.67,3,3
2017-01,SELL-001594,288.38,2,2
2017-01,SELL-001104,281.37,3,3
2017-01,SELL-002127,272.1,4,4
2017-01,SELL-001625,271.55,2,2
2017-01,SELL-001078,263.04,1,1
2017-01,SELL-001997,261.12,3,3
2017-01,SELL-002471,259.99,1,1
2017-01,SELL-000397,257.91,5,7
2017-01,SELL-000446,253.67,2,5
2017-01,SELL-002984,252.44,2,2
2017-01,SELL-001080,239.48,1,2
2017-01,SELL-001109,231.42,1,2
2017-01,SELL-000221,228.41,2,2
2017-01,SELL-002891,227.58,4,5
2017-01,SELL-000821,218.35,2,2
2017-01,SELL-001848,218.02,1,6
2017-01,SELL-002722,217.0,1,1
2017-01,SELL-002248,213.72,2,11
2017-01,SELL-002306,212.29,2,3
2017-01,SELL-000851,209.06,1,1
2017-01,SELL-002627,208.01,2,5
2017-01,SELL-000404,207.0,1,1
2017-01,SELL-001821,201.47,1,1
2017-01,SELL-000671,198.61,2,2
2017-01,SELL-000751,195.44,1,1
2017-01,SELL-002458,193.18,3,3
2017-01,SELL-001059,192.9,1,1
2017-01,SELL-002737,185.38,2,2
2017-01,SELL-001517,184.12,2,2
2017-01,SELL-002689,184.08,3,3
2017-01,SELL-000076,182.06,2,3
2017-01,SELL-000704,179.83,1,1
2017-01,SELL-002655,176.49,4,4
2017-01,SELL-002060,176.06,2,2
2017-01,SELL-002171,172.47,2,5
2017-01,SELL-001716,171.77,3,3
2017-01,SELL-002135,171.15,2,2
2017-01,SELL-001228,169.08,2,2
2017-01,SELL-000139,168.36,1,1
2017-01,SELL-001412,167.1,3,3
2017-01,SELL-002113,162.9,1,1
2017-01,SELL-002347,158.72,1,1
2017-01,SELL-002475,156.58,1,1
2017-01,SELL-000301,156.08,1,1
2017-01,SELL-002747,154.29,1,1
2017-01,SELL-001375,153.54,3,3
2017-01,SELL-003024,152.06,1,1
2017-01,SELL-002563,149.99,1,1
2017-01,SELL-000859,149.9,1,1
2017-01,SELL-000639,148.93,1,1
2017-01,SELL-001170,147.9,1,1
2017-01,SELL-002386,145.9,1,1
2017-01,SELL-001116,142.0,1,1
2017-01,SELL-002990,138.49,1,1
2017-01,SELL-001894,134.6,1,1
2017-01,SELL-001198,131.91,2,2
2017-01,SELL-002871,131.4,1,2
2017-01,SELL-000017,128.2,1,1
2017-01,SELL-002986,126.2,1,1
2017-01,SELL-001601,124.84,1,1
2017-01,SELL-002124,119.77,2,2
2017-01,SELL-002195,119.52,1,2
2017-01,SELL-000840,118.89,2,2
2017-01,SELL-002730,115.8,2,2
2017-01,SELL-001606,111.2,2,2
2017-01,SELL-002821,110.7,1,1
2017-01,SELL-001685,109.86,3,4
2017-01,SELL-002671,108.6,1,1
2017-01,SELL-000625,108.0,1,1
2017-01,SELL-000516,107.9,1,1
2017-01,SELL-001735,105.47,2,2
2017-01,SELL-002356,103.91,1,1
2017-01,SELL-001169,103.52,2,2
2017-01,SELL-000182,102.9,1,1
2017-01,SELL-002668,102.81,2,2
2017-01,SELL-001467,101.14,1,1
2017-01,SELL-002387,98.31,1,1
2017-01,SELL-002698,92.04,2,2
2017-01,SELL-001837,88.8,2,2
2017-01,SELL-000323,88.4,2,2
2017-01,SELL-002854,87.9,1,1
2017-01,SELL-001801,87.37,1,1
2017-01,SELL-002693,86.9,1,1
2017-01,SELL-001190,86.02,1,2
2017-01,SELL-002153,84.64,1,1
2017-01,SELL-002223,84.52,1,1
2017-01,SELL-001747,82.9,1,1
2017-01,SELL-002531,81.0,1,1
2017-01,SELL-001733,78.82,2,2
2017-01,SELL-002684,78.0,1,2
2017-01,SELL-000090,77.84,1,2
2017-01,SELL-000722,77.16,1,1
2017-01,SELL-002057,77.06,1,1
2017-01,SELL-002482,76.05,1,1
2017-01,SELL-000564,72.18,1,2
2017-01,SELL-003062,71.72,1,1
2017-01,SELL-000677,69.45,1,1
2017-01,SELL-000258,64.51,1,1
2017-01,SELL-001085,64.42,1,1
2017-01,SELL-002538,64.22,1,1
2017-01,SELL-001805,63.92,1,2
2017-01,SELL-001608,60.46,1,1
2017-01,SELL-000166,59.96,1,1
2017-01,SELL-001342,57.96,1,2
2017-01,SELL-000306,55.46,1,1
2017-01,SELL-001120,54.95,1,1
2017-01,SELL-002332,54.9,1,1
2017-01,SELL-001366,53.5,1,1
2017-01,SELL-001755,50.95,1,1
2017-01,SELL-001450,47.8,1,2
2017-01,SELL-000811,44.42,1,1
2017-01,SELL-001356,44.02,1,1
2017-01,SELL-000133,43.86,1,1
2017-01,SELL-000515,40.95,1,1
2017-01,SELL-001167,37.95,1,1
2017-01,SELL-002493,36.62,1,1
2017-01,SELL-001220,35.95,1,1
2017-01,SELL-002125,33.03,1,1
2017-01,SELL-001678,30.96,1,1
2017-01,SELL-003021,29.2,1,1
2017-01,SELL-002953,26.76,1,1
2017-01,SELL-001871,22.72,1,1
2017-02,SELL-001561,9763.28,17,18
2017-02,SELL-001199,8602.86,43,47
2017-02,SELL-002737,6929.31,1,1
2017-02,SELL-002486,6068.12,59,69
2017-02,SELL-001536,5976.46,32,37
2017-02,SELL-002644,5739.5,30,37
2017-02,SELL-001639,4928.62,23,28
2017-02,SELL-002040,4291.35,20,24
2017-02,SELL-000990,4095.34,13,13
2017-02,SELL-002074,4042.74,1,1
2017-02,SELL-000767,3736.22,1,1
2017-02,SELL-001079,3602.47,1,1
2017-02,SELL-001134,3369.86,7,7
2017-02,SELL-001449,3210.34,16,21
2017-02,SELL-001506,3200.28,23,23
2017-02,SELL-001386,3152.7,14,15
2017-02,SELL-000158,3091.52,28,29
2017-02,SELL-001729,3001.65,10,11
2017-02,SELL-000844,2938.89,6,6
2017-02,SELL-000283,2699.36,3,3
2017-02,SELL-001989,2695.1,22,22
2017-02,SELL-002595,2617.31,16,21
2017-02,SELL-002263,2557.05,4,4
2017-02,SELL-001097,2410.98,12,13
2017-02,SELL-000038,2365.24,3,3
2017-02,SELL-000661,2314.9,3,3
2017-02,SELL-000006,2308.83,12,15
2017-02,SELL-001370,2239.67,8,16
2017-02,SELL-001388,2215.69,3,3
2017-02,SELL-000945,2170.44,11,11
2017-02,SELL-003025,2146.16,11,11
2017-02,SELL-003011,2059.56,3,3
2017-02,SELL-002490,2006.44,6,6
2017-02,SELL-001087,1936.27,1,1
2017-02,SELL-000785,1840.12,17,18
2017-02,SELL-000402,1814.96,10,10
2017-02,SELL-001154,1768.73,6,7
2017-02,SELL-002147,1726.34,12,13
2017-02,SELL-000882,1706.24,12,13
2017-02,SELL-002044,1671.76,5,5
2017-02,SELL-000508,1639.96,3,4
2017-02,SELL-001518,1622.44,2,2
2017-02,SELL-001468,1618.93,11,13
2017-02,SELL-000669,1609.5,13,18
2017-02,SELL-000352,1545.46,3,4
2017-02,SELL-002429,1508.37,4,4
2017-02,SELL-000074,1506.71,4,4
2017-02,SELL-002948,1501.36,2,2
2017-02,SELL-000975,1482.47,7,7
2017-02,SELL-003006,1413.74,21,21
2017-02,SELL-002727,1399.62,5,5
2017-02,SELL-001661,1367.5,1,1
2017-02,SELL-002843,1359.24,2,2
2017-02,SELL-000247,1349.02,11,11
2017-02,SELL-002543,1342.23,10,10
2017-02,SELL-002523,1330.5,12,17
2017-02,SELL-000837,1323.79,1,1
2017-02,SELL-000603,1308.86,5,6
2017-02,SELL-002958,1307.26,6,7
2017-02,SELL-000002,1295.4,5,11
2017-02,SELL-001318,1290.79,1,1
2017-02,SELL-001003,1246.34,1,2
2017-02,SELL-002366,1242.93,8,9
2017-02,SELL-000166,1237.9,12,13
2017-02,SELL-002618,1221.66,7,7
2017-02,SELL-000625,1214.26,12,12
2017-02,SELL-000174,1200.05,16,22
2017-02,SELL-003080,1194.51,2,2
2017-02,SELL-002930,1146.2,1,1
2017-02,SELL-001034,1143.23,11,11
2017-02,SELL-000397,1138.5,26,29
2017-02,SELL-001328,1137.44,14,14
2017-02,SELL-002488,1097.17,1,1
2017-02,SELL-001473,1082.56,2,2
2017-02,SELL-002962,1077.39,27,28
2017-02,SELL-001955,1055.57,6,6
2017-02,SELL-003027,1051.84,15,17
2017-02,SELL-000493,1029.14,11,11
2017-02,SELL-000821,1001.75,6,6
2017-02,SELL-000592,984.26,1,1
2017-02,SELL-002577,968.63,6,6
2017-02,SELL-001366,968.6,8,10
2017-02,SELL-001586,958.52,6,6
2017-02,SELL-002672,956.16,11,11
2017-02,SELL-000446,942.76,9,11
2017-02,SELL-000703,927.32,10,10
2017-02,SELL-001712,903.28,2,2
2017-02,SELL-000404,893.32,3,3
2017-02,SELL-002447,849.11,2,2
2017-02,SELL-001733,838.48,7,7
2017-02,SELL-002482,831.98,16,17
2017-02,SELL-000079,831.44,7,7
2017-02,SELL-002891,827.26,19,19
2017-02,SELL-002139,815.56,3,4
2017-02,SELL-001104,799.94,10,11
2017-02,SELL-001723,785.75,2,2
2017-02,SELL-001657,767.1,8,8
2017-02,SELL-002004,764.57,3,4
2017-02,SELL-001695,755.52,11,14
2017-02,SELL-001641,755.02,20,20
2017-02,SELL-000840,754.41,10,12
2017-02,SELL-002627,739.12,11,12
2017-02,SELL-000594,734.75,2,2
2017-02,SELL-000110,714.09,6,6
2017-02,SELL-000887,713.04,3,3
2017-02,SELL-002063,710.17,8,8
2017-02,SELL-002852,705.9,8,8
2017-02,SELL-001608,693.91,2,2
2017-02,SELL-001462,692.47,4,4
2017-02,SELL-001681,688.53,11,13
2017-02,SELL-000947,687.95,4,4
2017-02,SELL-002812,679.39,7,9
2017-02,SELL-001114,675.7,4,4
2017-02,SELL-001997,674.99,4,7
2017-02,SELL-001556,674.28,4,5
2017-02,SELL-000923,667.88,1,1
2017-02,SELL-001339,667.83,2,2
2017-02,SELL-003085,667.71,1,1
2017-02,SELL-002309,665.46,4,4
2017-02,SELL-001334,643.3,8,8
2017-02,SELL-000851,642.11,2,2
2017-02,SELL-000565,641.18,1,1
2017-02,SELL-002060,639.34,6,7
2017-02,SELL-000948,637.13,5,6
2017-02,SELL-001066,633.88,3,3
2017-02,SELL-002986,622.34,5,5
2017-02,SELL-000759,621.26,3,3
2017-02,SELL-001141,619.66,7,7
2017-02,SELL-001821,616.86,1,1
2017-02,SELL-002127,616.28,5,7
2017-02,SELL-002884,611.32,2,2
2017-02,SELL-001255,596.73,6,6
2017-02,SELL-001375,593.43,9,9
2017-02,SELL-000551,568.61,1,1
2017-02,SELL-001500,568.36,2,2
2017-02,SELL-001319,565.68,4,4
2017-02,SELL-001219,547.48,3,3
2017-02,SELL-001562,546.55,2,2
2017-02,SELL-002223,542.47,3,5
2017-02,SELL-002311,542.36,2,6
2017-02,SELL-002100,542.25,3,5
2017-02,SELL-002931,540.53,1,1
2017-02,SELL-001615,536.69,3,4
2017-02,SELL-000200,534.14,3,5
2017-02,SELL-001236,525.32,5,6
2017-02,SELL-002749,524.01,4,4
2017-02,SELL-001504,521.12,3,3
2017-02,SELL-001678,513.65,9,9
2017-02,SELL-000704,508.12,3,3
2017-02,SELL-001699,498.77,4,4
2017-02,SELL-002200,496.92,18,20
2017-02,SELL-000270,494.66,1,1
2017-02,SELL-002563,491.68,1,1
2017-02,SELL-001035,486.28,6,6
2017-02,SELL-002768,483.38,7,7
2017-02,SELL-002443,481.5,2,2
2017-02,SELL-003043,471.05,1,1
2017-02,SELL-002306,471.01,4,4
2017-02,SELL-001927,458.09,2,2
2017-02,SELL-001205,450.1,3,3
2017-02,SELL-000321,440.39,4,4
2017-02,SELL-001789,440.29,2,2
2017-02,SELL-002135,433.82,5,6
2017-02,SELL-001178,426.39,4,4
2017-02,SELL-001228,422.75,5,5
2017-02,SELL-002477,422.25,2,2
2017-02,SELL-002826,422.08,6,6
2017-02,SELL-002730,414.0,8,8
2017-02,SELL-000432,412.12,1,1
2017-02,SELL-001837,410.68,7,7
2017-02,SELL-002057,399.69,4,5
2017-02,SELL-001181,396.9,1,2
2017-02,SELL-002006,396.86,1,1
2017-02,SELL-002458,389.86,6,6
2017-02,SELL-000979,386.84,2,2
2017-02,SELL-001321,383.21,4,4
2017-02,SELL-002171,382.03,7,7
2017-02,SELL-000829,380.75,1,1
2017-02,SELL-002375,370.1,2,6
2017-02,SELL-002977,365.73,1,1
2017-02,SELL-000970,353.76,2,3
2017-02,SELL-001461,353.63,2,2
2017-02,SELL-002593,353.51,1,2
2017-02,SELL-001801,351.48,1,2
2017-02,SELL-001551,341.03,3,3
2017-02,SELL-002747,340.68,2,2
2017-02,SELL-001355,340.29,4,4
2017-02,SELL-001056,335.78,5,6
2017-02,SELL-000133,335.38,4,7
2017-02,SELL-000788,334.74,1,1
2017-02,SELL-002655,333.35,5,5
2017-02,SELL-000258,332.01,5,5
2017-02,SELL-001412,329.08,3,4
2017-02,SELL-000925,327.43,2,2
2017-02,SELL-000722,324.29,1,1
2017-02,SELL-001213,323.26,4,4
2017-02,SELL-001203,320.05,1,1
2017-02,SELL-002374,317.58,3,4
2017-02,SELL-000611,314.41,3,3
2017-02,SELL-000415,312.36,3,3
2017-02,SELL-001771,309.05,2,2
2017-02,SELL-002432,298.73,2,5
2017-02,SELL-001878,295.99,1,1
2017-02,SELL-000028,293.2,1,2
2017-02,SELL-001685,291.19,9,10
2017-02,SELL-001170,287.77,2,2
2017-02,SELL-000060,286.31,1,1
2017-02,SELL-001838,286.09,1,1
2017-02,SELL-002794,284.65,1,1
2017-02,SELL-001401,282.58,1,2
2017-02,SELL-000022,280.93,3,3
2017-02,SELL-002225,277.68,3,3
2017-02,SELL-002204,274.82,1,1
2017-02,SELL-002800,272.18,1,2
2017-02,SELL-000577,272.17,3,4
2017-02,SELL-001799,269.76,8,8
2017-02,SELL-000830,266.96,1,1
2017-02,SELL-001625,266.14,2,2
2017-02,SELL-002467,265.51,2,2
2017-02,SELL-001487,261.11,2,4
2017-02,SELL-002664,261.08,2,2
2017-02,SELL-000638,259.06,1,1
2017-02,SELL-001788,257.58,1,2
2017-02,SELL-001557,256.87,3,4
2017-02,SELL-002475,255.97,2,2
2017-02,SELL-002468,254.19,6,6
2017-02,SELL-001430,251.83,1,1
2017-02,SELL-000928,246.0,3,4
2017-02,SELL-000325,241.61,1,1
2017-02,SELL-001076,240.8,2,2
2017-02,SELL-002835,239.95,1,1
2017-02,SELL-000221,237.08,3,3
2017-02,SELL-001610,235.44,2,2
2017-02,SELL-002984,235.04,2,2
2017-02,SELL-002881,233.64,4,4
2017-02,SELL-002689,227.84,3,4
2017-02,SELL-003074,227.14,4,4
2017-02,SELL-001364,226.86,1,3
2017-02,SELL-000320,226.33,3,3
2017-02,SELL-000640,226.11,1,1
2017-02,SELL-002968,223.2,2,2
2017-02,SELL-002658,218.13,1,1
2017-02,SELL-002698,218.04,1,1
2017-02,SELL-002493,216.27,8,9
2017-02,SELL-001775,215.67,2,2
2017-02,SELL-001883,210.17,2,2
2017-02,SELL-000274,209.4,1,2
2017-02,SELL-000076,208.07,1,1
2017-02,SELL-000816,205.4,1,1
2017-02,SELL-000154,205.13,2,3
2017-02,SELL-002250,201.7,2,3
2017-02,SELL-000301,198.48,2,2
2017-02,SELL-000820,196.75,1,1
2017-02,SELL-000251,195.81,1,1
2017-02,SELL-002070,194.01,1,1
2017-02,SELL-000544,191.5,1,1
2017-02,SELL-000710,189.79,1,1
2017-02,SELL-003064,187.69,3,3
2017-02,SELL-001073,187.52,2,2
2017-02,SELL-000316,187.49,1,1
2017-02,SELL-001719,186.18,2,3
2017-02,SELL-000751,185.61,1,1
2017-02,SELL-000671,183.99,2,2
2017-02,SELL-002153,183.16,1,2
2017-02,SELL-001488,182.4,1,1
2017-02,SELL-001220,181.84,3,5
2017-02,SELL-002085,179.92,1,1
2017-02,SELL-000808,179.35,1,1
2017-02,SELL-002854,179.3,1,1
2017-02,SELL-002871,178.26,1,3
2017-02,SELL-001961,176.72,1,1
2017-02,SELL-002072,174.93,2,2
2017-02,SELL-002526,173.29,1,1
2017-02,SELL-001308,169.3,2,2
2017-02,SELL-002937,169.0,1,1
2017-02,SELL-002251,168.38,1,1
2017-02,SELL-001382,167.62,2,2
2017-02,SELL-001755,166.71,3,3
2017-02,SELL-000435,166.68,1,2
2017-02,SELL-000861,166.0,1,1
2017-02,SELL-001594,164.81,1,1
2017-02,SELL-002106,164.02,2,2
2017-02,SELL-001510,163.56,1,2
2017-02,SELL-002410,163.07,1,1
2017-02,SELL-001519,161.21,1,1
2017-02,SELL-002990,160.96,1,1
2017-02,SELL-000482,160.18,1,1
2017-02,SELL-002115,159.85,1,1
2017-02,SELL-001167,158.91,2,2
2017-02,SELL-000299,158.32,2,2
2017-02,SELL-000583,158.25,4,4
2017-02,SELL-002452,158.15,2,3
2017-02,SELL-001747,157.2,2,2
2017-02,SELL-001614,155.19,1,1
2017-02,SELL-002531,154.64,3,3
2017-02,SELL-000517,154.14,1,1
2017-02,SELL-001802,152.47,1,1
2017-02,SELL-001894,152.43,1,1
2017-02,SELL-002321,152.27,1,1
2017-02,SELL-001222,151.72,4,4
2017-02,SELL-002504,151.49,4,4
2017-02,SELL-000160,150.12,1,1
2017-02,SELL-001517,148.86,2,2
2017-02,SELL-001735,147.3,1,6
2017-02,SELL-001310,146.01,1,1
2017-02,SELL-000656,145.68,1,2
2017-02,SELL-001207,145.59,1,1
2017-02,SELL-002478,139.66,4,4
2017-02,SELL-002954,137.42,2,3
2017-02,SELL-001929,136.67,2,3
2017-02,SELL-001494,134.6,1,1
2017-02,SELL-001169,134.25,4,5
2017-02,SELL-000427,132.73,1,1
2017-02,SELL-002310,132.41,1,1
2017-02,SELL-001499,132.13,1,1
2017-02,SELL-000469,131.71,2,2
